=======================================================
  Lexical Analyzer  --  CSE411, Alamein University
[Line  29] INTEGER     : 10
[Line  29] DELIMITER   : ;
[Line  30] KEYWORD     : float
[Line  30] IDENTIFIER  : pi
[Line  30] OPERATOR    : =
[Line  30] FLOAT       : 3.14159
[Line  30] DELIMITER   : ;
[Line  31] KEYWORD     : double
[Line  31] IDENTIFIER  : result
[Line  31] OPERATOR    : =
[Line  31] FLOAT       : 0.0
[Line  31] DELIMITER   : ;
[Line  32] KEYWORD     : char
[Line  32] IDENTIFIER  : grade
[Line  32] OPERATOR    : =
[Line  32] CHAR_LIT    : 'A'
[Line  32] DELIMITER   : ;
[Line  33] KEYWORD     : string
[Line  33] IDENTIFIER  : name
[Line  33] OPERATOR    : =
[Line  33] STRING      : "Alamein"
[Line  33] DELIMITER   : ;
[Line  35] COMMENT(SL) : // Arithmetic operations
[Line  36] IDENTIFIER  : result
[Line  36] OPERATOR    : =
[Line  36] IDENTIFIER  : pi
[Line  36] OPERATOR    : *
[Line  36] IDENTIFIER  : x
[Line  36] OPERATOR    : *
[Line  36] IDENTIFIER  : x
[Line  36] DELIMITER   : ;
[Line  36] COMMENT(ML) : (multi-line comment)
[Line  38] COMMENT(SL) : // Logical and relational operators
[Line  39] KEYWORD     : if
[Line  39] DELIMITER   : (
[Line  39] IDENTIFIER  : x
[Line  39] OPERATOR    : >=
[Line  39] INTEGER     : 5
[Line  39] OPERATOR    : &&
[Line  39] IDENTIFIER  : x
[Line  39] OPERATOR    : <=
[Line  39] IDENTIFIER  : MAX_SIZE
[Line  39] DELIMITER   : )
[Line  39] DELIMITER   : {
[Line  40] IDENTIFIER  : x
[Line  40] OPERATOR    : ++
[Line  40] DELIMITER   : ;
[Line  41] DELIMITER   : }
[Line  41] KEYWORD     : else
[Line  41] KEYWORD     : if
[Line  41] DELIMITER   : (
[Line  41] IDENTIFIER  : x
[Line  41] OPERATOR    : ==
[Line  41] INTEGER     : 0
[Line  41] OPERATOR    : ||
[Line  41] IDENTIFIER  : x
[Line  41] OPERATOR    : !=
[Line  41] OPERATOR    : -
[Line  41] INTEGER     : 1
[Line  41] DELIMITER   : )
[Line  41] DELIMITER   : {
[Line  42] IDENTIFIER  : x
[Line  42] OPERATOR    : --
[Line  42] DELIMITER   : ;
[Line  43] DELIMITER   : }
[Line  45] COMMENT(SL) : // Loop with compound assignment
[Line  46] KEYWORD     : int
[Line  46] IDENTIFIER  : sum
[Line  46] OPERATOR    : =
[Line  46] INTEGER     : 0
[Line  46] DELIMITER   : ;
[Line  47] KEYWORD     : for
[Line  47] DELIMITER   : (
[Line  47] KEYWORD     : int
[Line  47] IDENTIFIER  : i
[Line  47] OPERATOR    : =
[Line  47] INTEGER     : 0
[Line  47] DELIMITER   : ;
[Line  47] IDENTIFIER  : i
[Line  47] OPERATOR    : <
[Line  47] IDENTIFIER  : x
[Line  47] DELIMITER   : ;
[Line  47] IDENTIFIER  : i
[Line  47] OPERATOR    : ++
[Line  47] DELIMITER   : )
[Line  47] DELIMITER   : {
[Line  48] IDENTIFIER  : sum
[Line  48] OPERATOR    : +=
[Line  48] IDENTIFIER  : i
[Line  48] DELIMITER   : ;
[Line  49] DELIMITER   : }
[Line  51] COMMENT(SL) : // While loop
[Line  52] KEYWORD     : int
[Line  52] IDENTIFIER  : count
[Line  52] OPERATOR    : =
[Line  52] INTEGER     : 0
[Line  52] DELIMITER   : ;
[Line  53] KEYWORD     : while
[Line  53] DELIMITER   : (
[Line  53] IDENTIFIER  : count
[Line  53] OPERATOR    : <
[Line  53] INTEGER     : 5
[Line  53] DELIMITER   : )
[Line  53] DELIMITER   : {
[Line  54] IDENTIFIER  : count
[Line  54] OPERATOR    : ++
[Line  54] DELIMITER   : ;
[Line  55] DELIMITER   : }
[Line  57] COMMENT(SL) : // Switch statement
[Line  58] KEYWORD     : switch
[Line  58] DELIMITER   : (
[Line  58] IDENTIFIER  : x
[Line  58] DELIMITER   : )
[Line  58] DELIMITER   : {
[Line  59] KEYWORD     : case
[Line  59] INTEGER     : 0
[Line  59] DELIMITER   : :
[Line  60] KEYWORD     : break
[Line  60] DELIMITER   : ;
[Line  61] KEYWORD     : case
[Line  61] INTEGER     : 1
[Line  61] DELIMITER   : :
[Line  62] IDENTIFIER  : result
[Line  62] OPERATOR    : +=
[Line  62] FLOAT       : 1.5e2
[Line  62] DELIMITER   : ;
[Line  63] KEYWORD     : break
[Line  63] DELIMITER   : ;
[Line  64] KEYWORD     : default
[Line  64] DELIMITER   : :
[Line  65] IDENTIFIER  : result
[Line  65] OPERATOR    : -=
[Line  65] FLOAT       : 0.001
[Line  65] DELIMITER   : ;
[Line  66] DELIMITER   : }
[Line  68] IDENTIFIER  : printf
[Line  68] DELIMITER   : (
[Line  68] STRING      : "Factorial of %d = %d\n"
[Line  68] DELIMITER   : ,
[Line  68] IDENTIFIER  : x
[Line  68] DELIMITER   : ,
[Line  68] IDENTIFIER  : factorial
[Line  68] DELIMITER   : (
[Line  68] IDENTIFIER  : x
[Line  68] DELIMITER   : )
[Line  68] DELIMITER   : )
[Line  68] DELIMITER   : ;
[Line  69] IDENTIFIER  : printf
[Line  69] DELIMITER   : (
[Line  69] STRING      : "Sum = %d, Result = %.2f\n"
[Line  69] DELIMITER   : ,
[Line  69] IDENTIFIER  : sum
[Line  69] DELIMITER   : ,
[Line  69] IDENTIFIER  : result
[Line  69] DELIMITER   : )
[Line  69] DELIMITER   : ;
[Line  71] KEYWORD     : return
[Line  71] INTEGER     : 0
[Line  71] DELIMITER   : ;
[Line  72] DELIMITER   : }

=======================================================
  Token Summary
=======================================================
  Keywords      : 41
  Identifiers   : 53
  Integers      : 17
  Floats        : 4
  Strings       : 4
  Operators     : 37
  Delimiters    : 85
  Comments      : 9
  Unknown       : 0
-------------------------------------------------------
  TOTAL TOKENS  : 250
  Lines scanned : 73
=======================================================
